,created_at,document,document_url,appeal,type,iso,description,id,name,translation_module_original_language
10,2022-07-08T00:00:00Z,,https://adore.ifrc.org/Download.aspx?FileId=548684,"{'id': 3577, 'code': 'MDRCD037', 'event': {'dtype': 21, 'id': 6068, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'CD', 'iso3': 'COD', 'id': 187, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DCD001', 'average_household_size': None, 'name': 'Democratic Republic of Congo', 'society_name': 'Red Cross of the Democratic Republic of the Congo', 'translation_module_original_language': 'en'}], 'start_date': '2022-07-07T00:00:00Z', 'name': 'DRC -  Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-07-07T00:00:00Z'}",DREF Operation,CD,DREF Operation,9625,DREF Operation,en
11,2022-10-06T12:40:29.430924Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRML016.pdf,"{'id': 3571, 'code': 'MDRML016', 'event': {'dtype': 21, 'id': 6058, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'ML', 'iso3': 'MLI', 'id': 112, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DML001', 'average_household_size': None, 'name': 'Mali', 'society_name': 'Mali Red Cross', 'translation_module_original_language': 'en'}], 'start_date': '2022-06-27T00:00:00Z', 'name': 'Mali -  Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-06-27T00:00:00Z'}",,,,9768,Contributions List,en
12,2022-10-06T12:40:29.690381Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRCD037.pdf,"{'id': 3577, 'code': 'MDRCD037', 'event': {'dtype': 21, 'id': 6068, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'CD', 'iso3': 'COD', 'id': 187, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DCD001', 'average_household_size': None, 'name': 'Democratic Republic of Congo', 'society_name': 'Red Cross of the Democratic Republic of the Congo', 'translation_module_original_language': 'en'}], 'start_date': '2022-07-07T00:00:00Z', 'name': 'DRC -  Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-07-07T00:00:00Z'}",,,,9770,Contributions List,en
13,2022-10-06T12:40:29.859884Z,,https://go-api.ifrc.org/publicfile/download?path=/docs/appeals/Active/&name=MDRBF017.pdf,"{'id': 3566, 'code': 'MDRBF017', 'event': {'dtype': 21, 'id': 5943, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-05-26T00:00:00Z', 'name': 'Burkina Faso - Food Insecurity', 'translation_module_original_language': 'en'}, 'start_date': '2022-05-26T00:00:00Z'}",,,,9772,Contributions List,en
14,2023-05-05T00:00:00Z,,https://www.ifrc.org/docs/appeals/Active/MDRET030.pdf,"{'id': 3717, 'code': 'MDRET030', 'event': {'dtype': 5, 'id': 6456, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'ET', 'iso3': 'ETH', 'id': 65, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DET001', 'average_household_size': None, 'name': 'Ethiopia', 'society_name': 'Ethiopia Red Cross', 'translation_module_original_language': 'en'}], 'start_date': '2023-05-05T00:00:00Z', 'name': 'ETH: Population movement from Sudan', 'translation_module_original_language': 'en'}, 'start_date': '2023-05-05T00:00:00Z'}",Contributions List,ET,Donor Response,11484,Ethiopia - Population Movement from Sudan (MDRET030),en
15,2023-04-26T00:00:00Z,,https://www.ifrc.org/docs/appeals/Active/MDREG020.pdf,"{'id': 3716, 'code': 'MDREG020', 'event': {'dtype': 5, 'id': 6422, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-04-26T00:00:00Z', 'name': 'EGY: Population Movement - 2023-04 - Sudan Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2023-04-26T00:00:00Z'}",Contributions List,EG,Donor Response,11485,Egypt - Population Movement 2023 (MDREG020),en
16,2023-05-08T00:00:00Z,,https://www.ifrc.org/docs/appeals/Active/MDRSS013.pdf,"{'id': 3718, 'code': 'MDRSS013', 'event': {'dtype': 5, 'id': 6459, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'name': 'South Sudan', 'society_name': 'South Sudan Red Cross', 'translation_module_original_language': 'en'}], 'start_date': '2023-05-08T00:00:00Z', 'name': 'South Sudan - Population Movement from Sudan', 'translation_module_original_language': 'en'}, 'start_date': '2023-05-08T00:00:00Z'}",Contributions List,SS,Donor Response,11536,South Sudan - Population Movement from Sudan (MDRSS013),en
17,2023-04-26T00:00:00Z,,https://www.ifrc.org/docs/appeals/Active/MDRTD022.pdf,"{'id': 3715, 'code': 'MDRTD022', 'event': {'dtype': 5, 'id': 6421, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2023-04-26T00:00:00Z', 'name': 'DBT: Displacement from Sudan to Chad', 'translation_module_original_language': 'fr'}, 'start_date': '2023-04-26T00:00:00Z'}",Contributions List,TD,Donor Response,11537,Chad - Pop. Movement 2023 (MDRTD022),en
18,2022-07-07T00:00:00Z,,https://www.ifrc.org/docs/appeals/Active/MDRCD037.pdf,"{'id': 3577, 'code': 'MDRCD037', 'event': {'dtype': 21, 'id': 6068, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [{'iso': 'CD', 'iso3': 'COD', 'id': 187, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DCD001', 'average_household_size': None, 'name': 'Democratic Republic of Congo', 'society_name': 'Red Cross of the Democratic Republic of the Congo', 'translation_module_original_language': 'en'}], 'start_date': '2022-07-07T00:00:00Z', 'name': 'DRC -  Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-07-07T00:00:00Z'}",Contributions List,CD,Donor Response,11550,DR Congo - Hunger Crisis (MDRCD037),en
19,2022-06-29T00:00:00Z,,https://www.ifrc.org/docs/appeals/Active/MDRDJ005.pdf,"{'id': 3572, 'code': 'MDRDJ005', 'event': {'dtype': 21, 'id': 6056, 'slug': None, 'parent_event': None, 'emergency_response_contact_email': None, 'countries_for_preview': [], 'start_date': '2022-06-29T00:00:00Z', 'name': 'Djbouti - Hunger Crisis', 'translation_module_original_language': 'en'}, 'start_date': '2022-06-29T00:00:00Z'}",Contributions List,DJ,Donor Response,11551,Djibouti - Hunger Crisis (MDRDJ005),en
